Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
167,Aditi,NORTH WEST DELHI (SC),IND,1,Graduate,"Rs 16,596  ~ 16 Thou+",Rs 0  ~,1,1,16596.0,0.0,Graduate,Independent
168,Aditya Prakash Sharma,JAIPUR RURAL,Right to Recall Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
169,Aditya Shrivastav,GHAZIPUR,Yuga Thulasi Party,0,Graduate,"Rs 4,07,70,077  ~ 4 Crore+",Rs 0  ~,0,0,40770077.0,0.0,Graduate,Regional
170,Aditya Singh Madhukar,MUNGER,IND,0,10th Pass,"Rs 51,26,273  ~ 51 Lacs+",Rs 0  ~,0,0,5126273.0,0.0,10th Pass,Independent
171,Aditya Yadav,BADAUN,SP,0,Post Graduate,,,0,0,,,Post Graduate,Regional
172,Adla Kumar,MEDAK,IND,0,Graduate,"Rs 30,000  ~ 30 Thou+",Rs 0  ~,0,0,30000.0,0.0,Graduate,Independent
173,Adv Adoor Prakash,ATTINGAL,INC,13,Graduate Professional,"Rs 18,09,33,863  ~ 18 Crore+","Rs 3,68,02,602  ~ 3 Crore+",13,1,180933863.0,36802602.0,Graduate,National
174,Adv Ajay Upadhye,RAIGAD,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
175,Adv Altaf Ahmed,HINGOLI,Indian National League,0,Post Graduate,"Rs 75,48,190  ~ 75 Lacs+","Rs 4,00,000  ~ 4 Lacs+",0,0,7548190.0,400000.0,Post Graduate,Regional
176,Adv Arjun Charan Mallik,BHADRAK (SC),BSP,0,Graduate Professional,"Rs 2,00,20,000  ~ 2 Crore+",Rs 0  ~,0,0,20020000.0,0.0,Graduate,National
177,Adv Arun Kumar C A,MAVELIKKARA (SC),CPI,4,Post Graduate,,,4,1,,,Post Graduate,National
178,Adv Ashwini Sharma Hrittwal,KURUKSHETRA,IND,0,Doctorate,"Rs 2,26,77,042  ~ 2 Crore+",Rs 0  ~,0,0,22677042.0,0.0,Post Graduate,Independent
179,Adv Asif Ali Siddiquie,MUMBAI NORTH - CENTRAL,IND,1,Post Graduate,"Rs 62,24,745  ~ 62 Lacs+","Rs 42,72,468  ~ 42 Lacs+",1,1,6224745.0,4272468.0,Post Graduate,Independent
180,Adv B U Gosawi,AURANGABAD,Hindustan Janta Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
181,Adv Bhimrao Shende,RAMTEK (SC),Bahujan Republican Socialist Party,0,Post Graduate,"Rs 2,51,500  ~ 2 Lacs+",Rs 0  ~,0,0,251500.0,0.0,Post Graduate,Regional
182,Adv Chandan Kumar Das,BEGUSARAI,BSP,0,Post Graduate,"Rs 2,25,165  ~ 2 Lacs+",Rs 0  ~,0,0,225165.0,0.0,Post Graduate,National
183,Adv Charly Paul,CHALAKUDY,Twenty 20 Party,0,Graduate Professional,,,0,0,,,Graduate,Regional
184,Adv Feroz Shaikh,MUMBAI NORTH - CENTRAL,IND,0,Post Graduate,"Rs 23,13,844  ~ 23 Lacs+",Rs 0  ~,0,0,2313844.0,0.0,Post Graduate,Independent
185,Adv Gowaal Kagada Padavi,NANDURBAR (ST),INC,0,Post Graduate,"Rs 7,01,70,431  ~ 7 Crore+","Rs 78,17,614  ~ 78 Lacs+",0,0,70170431.0,7817614.0,Post Graduate,National
186,Adv Jyotishwar Vishnu Bhosale,MAVAL,Baliraja Party,1,Graduate Professional,,,1,1,,,Graduate,Regional
187,Adv K Francis George,KOTTAYAM,Kerala Congress,5,Graduate Professional,"Rs 9,51,96,318  ~ 9 Crore+","Rs 13,00,000  ~ 13 Lacs+",5,1,95196318.0,1300000.0,Graduate,Regional
188,Adv Kulwinder Singh,ANANDPUR SAHIB,IND,0,Post Graduate,"Rs 7,37,20,000  ~ 7 Crore+",Rs 0  ~,0,0,73720000.0,0.0,Post Graduate,Independent
189,Adv Mitesh Varshney,MUMBAI NORTH - WEST,Bhim Sena,0,Post Graduate,,,0,0,,,Post Graduate,Regional
190,Adv Nitin Dadahari Pol,SHIRDI (SC),Bahujan Bharat Party,0,Post Graduate,"Rs 11,60,000  ~ 11 Lacs+",Rs 0  ~,0,0,1160000.0,0.0,Post Graduate,Regional
191,Adv P K Narayanan S/O Koran,THRISSUR,BSP,0,Graduate Professional,"Rs 28,05,625  ~ 28 Lacs+","Rs 16,10,000  ~ 16 Lacs+",0,0,2805625.0,1610000.0,Graduate,National
192,Adv Rajendran,THIRUVANANTHAPURAM,BSP,0,Graduate Professional,,,0,0,,,Graduate,National
193,Adv Raju Patil,MAVAL,IND,0,Graduate Professional,"Rs 1,69,26,000  ~ 1 Crore+","Rs 12,41,000  ~ 12 Lacs+",0,0,16926000.0,1241000.0,Graduate,Independent
194,Adv Ravi Shinde,HINGOLI,IND,2,Graduate Professional,"Rs 54,88,869  ~ 54 Lacs+",Rs 0  ~,2,1,5488869.0,0.0,Graduate,Independent
195,Adv Sachin Umaji Nikam,DHULE,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
196,Adv Shine Lal M P,THIRUVANANTHAPURAM,IND,3,Graduate Professional,"Rs 7,44,600  ~ 7 Lacs+","Rs 7,00,000  ~ 7 Lacs+",3,1,744600.0,700000.0,Graduate,Independent
197,Adv Sidharth Deepak Bodhak,SHIRDI (SC),IND,0,Graduate Professional,"Rs 13,38,000  ~ 13 Lacs+",Rs 0  ~,0,0,1338000.0,0.0,Graduate,Independent
198,Adv Ujwal Nikam,MUMBAI NORTH - CENTRAL,BJP,0,Graduate Professional,,,0,0,,,Graduate,National
199,Adv Ulhas Shalikram Dupare,NAGPUR,IND,0,Graduate Professional,"Rs 1,29,85,000  ~ 1 Crore+","Rs 10,00,000  ~ 10 Lacs+",0,0,12985000.0,1000000.0,Graduate,Independent
200,Adv Ulhas Shalikram Dupare,RAMTEK (SC),IND,0,Post Graduate,"Rs 1,29,85,000  ~ 1 Crore+","Rs 10,00,000  ~ 10 Lacs+",0,0,12985000.0,1000000.0,Post Graduate,Independent
201,Adv Uttamkumar Nakul Sajani Sahu,MUMBAI NORTH - CENTRAL,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
202,Adv V S Sunilkumar,THRISSUR,CPI,2,Graduate Professional,"Rs 64,07,442  ~ 64 Lacs+","Rs 22,00,000  ~ 22 Lacs+",2,1,6407442.0,2200000.0,Graduate,National
203,Adv Vikram Uttam Kasabe,SOLAPUR (SC),IND,0,Post Graduate,"Rs 1,31,722  ~ 1 Lacs+",Rs 0  ~,0,0,131722.0,0.0,Post Graduate,Independent
204,Adv Vishal Gajanan Naik,NORTH GOA,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
205,Adv. Abhishek Master Buddhsen Patel,REWA,BSP,0,Post Graduate,"Rs 3,69,16,113  ~ 3 Crore+","Rs 19,54,965  ~ 19 Lacs+",0,0,36916113.0,1954965.0,Post Graduate,National
206,Adv. Antony Judy,ERNAKULAM,Twenty 20 Party,0,Post Graduate,"Rs 1,15,53,888  ~ 1 Crore+","Rs 18,44,873  ~ 18 Lacs+",0,0,11553888.0,1844873.0,Post Graduate,Regional
207,Adv. Ashok Saket,SATNA,Bahujan Dravida Party,0,Graduate Professional,,,0,0,,,Graduate,Regional
208,Adv. Bhaskar Marotrao Neware,WARDHA,IND,0,Post Graduate,"Rs 3,42,211  ~ 3 Lacs+",Rs 0  ~,0,0,342211.0,0.0,Post Graduate,Independent
209,Adv. Bhausaheb Anil Belure,OSMANABAD,IND,0,Graduate Professional,"Rs 5,85,92,000  ~ 5 Crore+","Rs 57,00,000  ~ 57 Lacs+",0,0,58592000.0,5700000.0,Graduate,Independent
210,Adv. Bhim Kishor,NORTH EAST DELHI,Peoples Party of India (Democratic),2,Graduate Professional,,,2,1,,,Graduate,Regional
211,Adv. Dean Kuriakose,IDUKKI,INC,88,Post Graduate,"Rs 2,07,97,763  ~ 2 Crore+","Rs 36,19,970  ~ 36 Lacs+",88,1,20797763.0,3619970.0,Post Graduate,National
212,Adv. Dr. Laxman Rambhau Damse,SHIRUR,Bharat Adivasi Party,2,Doctorate,"Rs 4,59,80,000  ~ 4 Crore+",Rs 0  ~,2,1,45980000.0,0.0,Post Graduate,Regional
213,Adv. Ganesh Navnathrao Karande,BEED,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
214,Adv. Gurudev Narsingh Suryawanshi,THANE,IND,0,Graduate Professional,"Rs 2,20,000  ~ 2 Lacs+",Rs 0  ~,0,0,220000.0,0.0,Graduate,Independent
215,Adv. Hitesh Jaikishan Jeswani,KALYAN,IND,0,Graduate,"Rs 47,68,213  ~ 47 Lacs+","Rs 38,37,559  ~ 38 Lacs+",0,0,4768213.0,3837559.0,Graduate,Independent
216,Adv. Jamir Shaikh,AHMEDNAGAR,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
217,Adv. Joice George,IDUKKI,CPI(M),8,Post Graduate,"Rs 2,17,97,607  ~ 2 Crore+",Rs 0  ~,8,1,21797607.0,0.0,Post Graduate,National
218,Adv. Jore Sachin Bhaskar,MADHA,IND,5,Post Graduate,"Rs 76,37,000  ~ 76 Lacs+","Rs 12,00,000  ~ 12 Lacs+",5,1,7637000.0,1200000.0,Post Graduate,Independent
219,Adv. K.T. Paluskar,NORTH EAST DELHI,Prabuddha Republican Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
220,Adv. Kasbekar Shridhar Limbaji,LATUR (SC),Rashtriya Sant Sandesh Party,1,Graduate Professional,"Rs 58,55,060  ~ 58 Lacs+",Rs 0  ~,1,1,5855060.0,0.0,Graduate,Regional
221,Adv. Krupal,NORTH WEST DELHI (SC),Prabuddha Republican Party,0,Post Graduate,"Rs 15,75,155  ~ 15 Lacs+",Rs 0  ~,0,0,1575155.0,0.0,Post Graduate,Regional
222,Adv. Lata Pandurang Shinde,MUMBAI NORTH - WEST,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
223,Adv. Mahendra Dadasaheb Shinde,AHMEDNAGAR,IND,1,Post Graduate,"Rs 32,234  ~ 32 Thou+",Rs 0  ~,1,1,32234.0,0.0,Post Graduate,Independent
224,Adv. Mahendra Tulshiram Bhingardive,MUMBAI SOUTH - CENTRAL,Right to Recall Party,0,Graduate Professional,"Rs 1,75,53,933  ~ 1 Crore+","Rs 6,50,000  ~ 6 Lacs+",0,0,17553933.0,650000.0,Graduate,Regional
225,Adv. Manik Bansi Aadmane,BEED,Bahujan Republican Socialist Party,1,Post Graduate,,,1,1,,,Post Graduate,Regional
226,Adv. Namdeo Pandurang Koli,JALGAON,IND,3,Graduate Professional,"Rs 3,91,216  ~ 3 Lacs+","Rs 15,00,000  ~ 15 Lacs+",3,1,391216.0,1500000.0,Graduate,Independent
227,Adv. Nivedida,PONNANI,BJP,5,Post Graduate,"Rs 9,56,33,596  ~ 9 Crore+","Rs 63,69,577  ~ 63 Lacs+",5,1,95633596.0,6369577.0,Post Graduate,National
228,Adv. Pradip S. Chincholikar,LATUR (SC),IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
229,Adv. Pruthvisamrat Mukindrao Dipwansh,AMRAVATI (SC),IND,0,Graduate Professional,"Rs 1,400  ~ 1 Thou+",Rs 0  ~,0,0,1400.0,0.0,Graduate,Independent
230,Adv. Raju Madhukarrao Kalane,AMRAVATI (SC),Bahujan Bharat Party,2,Graduate Professional,"Rs 41,500  ~ 41 Thou+","Rs 29,000  ~ 29 Thou+",2,1,41500.0,29000.0,Graduate,Regional
231,Adv. Ramrao Atmaram Jumbade,HINGOLI,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
232,Adv. Russel Joy,IDUKKI,BSP,0,Graduate Professional,"Rs 2,77,30,032  ~ 2 Crore+","Rs 23,26,691  ~ 23 Lacs+",0,0,27730032.0,2326691.0,Graduate,National
233,Adv. Sangeetha Viswanathan,IDUKKI,Bharath Dharma Jana Sena,1,Post Graduate,"Rs 8,02,67,162  ~ 8 Crore+","Rs 1,15,74,186  ~ 1 Crore+",1,1,80267162.0,11574186.0,Post Graduate,Regional
234,Adv. Sanjeevkumar Apparav Kalkori,MUMBAI NORTH - WEST,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
235,Adv. Santosh Punjiram Sanjkar,MUMBAI SOUTH - CENTRAL,IND,4,Post Graduate,"Rs 16,38,030  ~ 16 Lacs+",Rs 0  ~,4,1,1638030.0,0.0,Post Graduate,Independent
236,Adv. Santosh Ramkrishna Lanjewar,NAGPUR,All India Forward Bloc,0,Post Graduate,"Rs 1,05,66,089  ~ 1 Crore+","Rs 22,06,036  ~ 22 Lacs+",0,0,10566089.0,2206036.0,Post Graduate,Regional
237,Adv. Sharad Bahinaji Kamble,BEED,All India National Raksha Sena,0,Post Graduate,,,0,0,,,Post Graduate,Regional
238,Adv. Shivajirao Jadhav,HINGOLI,IND,0,Post Graduate,"Rs 53,92,91,634  ~ 53 Crore+","Rs 16,72,22,522  ~ 16 Crore+",0,0,539291634.0,167222522.0,Post Graduate,Independent
239,Adv. Shivajirao Waman Damale,AHMEDNAGAR,Sainik Samaj Party,0,Graduate Professional,"Rs 3,90,000  ~ 3 Lacs+",Rs 0  ~,0,0,390000.0,0.0,Graduate,Regional
240,Adv. Sonal Diwakar Gondane,MUMBAI NORTH,Vanchit Bahujan Aaghadi,0,Post Graduate,,,0,0,,,Post Graduate,Regional
241,Adv. Vinod Chhaganrao Ambhore,PARBHANI,Bahujan Mukti Party,1,Graduate Professional,"Rs 6,90,499  ~ 6 Lacs+","Rs 1,32,588  ~ 1 Lacs+",1,1,690499.0,132588.0,Graduate,Regional
242,Adv. Vishvjeet Vijaykumar Shinde,OSMANABAD,Aadarsh Sangram Party,0,Post Graduate,"Rs 1,93,39,431  ~ 1 Crore+",Rs 0  ~,0,0,19339431.0,0.0,Post Graduate,Regional
243,Adv. Yash Suhas Hegdepatil,KOLHAPUR,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
244,Adv. Yogesh Dattu Gullapelli,JALNA,IND,0,Post Graduate,"Rs 17,14,301  ~ 17 Lacs+",Rs 0  ~,0,0,1714301.0,0.0,Post Graduate,Independent
245,Adv. Yogesh Makane,PUNE,IND,0,Graduate Professional,"Rs 2,04,78,000  ~ 2 Crore+","Rs 24,00,000  ~ 24 Lacs+",0,0,20478000.0,2400000.0,Graduate,Independent
246,Adv. Zunjar Mhasuji Avhad,NASHIK,Bahujan Republican Socialist Party,1,Graduate Professional,,,1,1,,,Graduate,Regional
247,Adv.Harikumar M.K.,PATHANAMTHITTA,Ambedkarite Party of India,1,Graduate Professional,"Rs 6,231  ~ 6 Thou+",Rs 0  ~,1,1,6231.0,0.0,Graduate,Regional
248,Adv.K.M Shajahan,ALAPPUZHA,IND,5,Post Graduate,"Rs 1,89,94,512  ~ 1 Crore+","Rs 44,90,000  ~ 44 Lacs+",5,1,18994512.0,4490000.0,Post Graduate,Independent
249,Adv.P.K.Geethakrishnan,PATHANAMTHITTA,BSP,0,Post Graduate,,,0,0,,,Post Graduate,National
250,Adv.Swapnil Bhausaheb Shelar,SHIRUR,IND,0,Graduate,"Rs 26,86,665  ~ 26 Lacs+","Rs 3,45,959  ~ 3 Lacs+",0,0,2686665.0,345959.0,Graduate,Independent
251,Advocate Aditya Dhankhar,ROHTAK,Super Power India Party,0,Graduate Professional,"Rs 4,50,000  ~ 4 Lacs+",Rs 0  ~,0,0,450000.0,0.0,Graduate,Regional
252,Advocate Arun Shrivastava,BHOPAL,INC,1,Post Graduate,,,1,1,,,Post Graduate,National
253,Advocate Dr. Mahender Singh Churiyana,NORTH WEST DELHI (SC),Bahujan Dravida Party,0,Doctorate,"Rs 4,17,81,000  ~ 4 Crore+",Rs 0  ~,0,0,41781000.0,0.0,Post Graduate,Regional
254,Advocate Hari Kishan Tiwari,JAIPUR,Bheem Tribal Congress,0,Graduate Professional,"Rs 1,01,10,000  ~ 1 Crore+",Rs 0  ~,0,0,10110000.0,0.0,Graduate,Regional
255,Advocate J. P. Maraviya,JAMNAGAR,INC,0,Graduate Professional,,,0,0,,,Graduate,National
256,Advocate Kapil K. Soni,MUMBAI NORTH,IND,0,Post Graduate,"Rs 48,216  ~ 48 Thou+","Rs 97,200  ~ 97 Thou+",0,0,48216.0,97200.0,Post Graduate,Independent
257,Advocate Kapil Kantilal Soni,MUMBAI NORTH - WEST,IND,0,Post Graduate,"Rs 48,216  ~ 48 Thou+","Rs 97,200  ~ 97 Thou+",0,0,48216.0,97200.0,Post Graduate,Independent
258,Advocate Karansingh Jatav,GUNA,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,,,0,0,,,Post Graduate,Regional
259,Advocate Manjeet Singh,EAST DELHI,Rashtra Nirman Party,0,Graduate Professional,"Rs 1,20,04,732  ~ 1 Crore+","Rs 13,07,590  ~ 13 Lacs+",0,0,12004732.0,1307590.0,Graduate,Regional
260,Advocate Mukesh Kumar Kori,GWALIOR,IND,0,Graduate Professional,"Rs 48,37,666  ~ 48 Lacs+","Rs 22,00,000  ~ 22 Lacs+",0,0,4837666.0,2200000.0,Graduate,Independent
261,Advocate Navinkumar Shankerbhai Patel,NAVSARI,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
262,Advocate Pankaj Gupte,INDORE,IND,0,Graduate Professional,"Rs 1,70,209  ~ 1 Lacs+",Rs 0  ~,0,0,170209.0,0.0,Graduate,Independent
263,Advocate Pardeep Saini,KURUKSHETRA,Rashtriya Garib Dal,0,Post Graduate,"Rs 91,60,700  ~ 91 Lacs+","Rs 80,000  ~ 80 Thou+",0,0,9160700.0,80000.0,Post Graduate,Regional
264,Advocate Pardeep Sihmar,HISAR,Peoples Party of India (Democratic),1,Graduate Professional,,,1,1,,,Graduate,Regional
265,Advocate Prakash Chouhan,UJJAIN (SC),BSP,0,Graduate Professional,"Rs 71,59,000  ~ 71 Lacs+","Rs 3,00,000  ~ 3 Lacs+",0,0,7159000.0,300000.0,Graduate,National
266,Advocate Sanjay Sharma,KANGRA,IND,0,Graduate Professional,"Rs 2,12,41,828  ~ 2 Crore+","Rs 5,80,621  ~ 5 Lacs+",0,0,21241828.0,580621.0,Graduate,Independent
267,Advocate Santosh Rawat,BARABANKI (SC),Dr. Bhimrao Ambedkar Dal,0,Post Graduate,,,0,0,,,Post Graduate,Regional
268,Advocate Satish Chandra,NORTH WEST DELHI (SC),Ambedkarite Party of India,0,Post Graduate,"Rs 27,53,000  ~ 27 Lacs+","Rs 3,50,000  ~ 3 Lacs+",0,0,2753000.0,350000.0,Post Graduate,Regional
269,Advocate Satyaprakash Shulke,BALAGHAT,Madhya Pradesh Jan Vikas Party,0,Graduate Professional,"Rs 12,67,608  ~ 12 Lacs+",Rs 0  ~,0,0,1267608.0,0.0,Graduate,Regional
270,Advocate Shailendra Banjare (Shaktiputra),BILASPUR,Shakti Sena (Bharat Desh),0,Post Graduate,,,0,0,,,Post Graduate,Regional
271,Advocate Shailendra Banjare (Shaktiputra),JANJGIR-CHAMPA (SC),Shakti Sena (Bharat Desh),0,Post Graduate,"Rs 11,29,57,000  ~ 11 Crore+","Rs 20,00,000  ~ 20 Lacs+",0,0,112957000.0,2000000.0,Post Graduate,Regional
272,Advocate Uday Kumar Sahu,JABALPUR,Gondvana Gantantra Party,1,Graduate Professional,"Rs 3,03,43,010  ~ 3 Crore+","Rs 18,00,000  ~ 18 Lacs+",1,1,30343010.0,1800000.0,Graduate,Regional
273,Advocate Vidayaraj Malaviy,DEWAS (SC),Social Democratic Party Of India,0,Post Graduate,,,0,0,,,Post Graduate,Regional
274,Advocate Vijay Babulal Danej,JALGAON,IND,0,Post Graduate,"Rs 1,35,23,149  ~ 1 Crore+",Rs 0  ~,0,0,13523149.0,0.0,Post Graduate,Independent
275,Advocate Yerra Kaamesh,KHAMMAM,BSP,0,Post Graduate,"Rs 74,70,415  ~ 74 Lacs+","Rs 31,54,517  ~ 31 Lacs+",0,0,7470415.0,3154517.0,Post Graduate,National
276,Afroja Khatun Mondal,KRISHNANAGAR,All India Secular Front,0,12th Pass,,,0,0,,,12th Pass,Regional
277,Afrose,VELLORE,IND,0,5th Pass,"Rs 16,81,000  ~ 16 Lacs+",Rs 0  ~,0,0,1681000.0,0.0,5th Pass,Independent
278,Afsar Khan Yaseen Kha,AURANGABAD,Vanchit Bahujan Aaghadi,2,12th Pass,"Rs 6,42,55,589  ~ 6 Crore+",Rs 0  ~,2,1,64255589.0,0.0,12th Pass,Regional
279,Afzal Ansari,GHAZIPUR,SP,5,Post Graduate,,,5,1,,,Post Graduate,Regional
280,Afzal Shabbirali Dawoodani,MUMBAI SOUTH,Vanchit Bahujan Aaghadi,0,12th Pass,"Rs 1,31,31,465  ~ 1 Crore+","Rs 21,20,000  ~ 21 Lacs+",0,0,13131465.0,2120000.0,12th Pass,Regional
281,Aga Syed Ruhullah Mehdi,SRINAGAR,Jammu & Kashmir National Conference,0,12th Pass,"Rs 3,57,93,000  ~ 3 Crore+","Rs 4,38,000  ~ 4 Lacs+",0,0,35793000.0,438000.0,12th Pass,Regional
282,Agam Swaroop,DEORIA,Rashtriya Samanta Dal,0,Post Graduate,,,0,0,,,Post Graduate,Regional
283,Agasteen Kommina,ELURU,IND,0,5th Pass,"Rs 8,00,000  ~ 8 Lacs+",Rs 0  ~,0,0,800000.0,0.0,5th Pass,Independent
284,Agatha K Sangma,TURA (ST),National Peoples Party,0,Post Graduate,"Rs 3,79,34,056  ~ 3 Crore+",Rs 0  ~,0,0,37934056.0,0.0,Post Graduate,Regional
285,Agni Aalvar,CHENNAI CENTRAL,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
286,Agni Aalvar,DHARMAPURI,IND,0,10th Pass,"Rs 6,98,100  ~ 6 Lacs+",Rs 0  ~,0,0,698100.0,0.0,10th Pass,Independent
287,Agnimitra Paul,MEDINIPUR,BJP,11,Graduate,"Rs 2,64,32,790  ~ 2 Crore+","Rs 1,20,11,270  ~ 1 Crore+",11,1,26432790.0,12011270.0,Graduate,National
288,Ahamed Shahjahan M,SALEM,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
289,Ahirwar Dalluram,TIKAMGARH (SC),BSP,0,Literate,"Rs 66,90,000  ~ 66 Lacs+",Rs 0  ~,0,0,6690000.0,0.0,Below 5th,National
290,Ahirwar Pankaj S/O Hari,TIKAMGARH (SC),Rashtriya Samaj Paksha,0,Graduate,"Rs 11,12,500  ~ 11 Lacs+",Rs 0  ~,0,0,1112500.0,0.0,Graduate,Regional
291,Ahirwar Rajkumar Thekedaar,SAGAR,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
292,Ahmad Jiya Khan,SHRAWASTI,Peace Party,0,10th Pass,"Rs 30,07,000  ~ 30 Lacs+",Rs 0  ~,0,0,3007000.0,0.0,10th Pass,Regional
293,Ahmad Khan,JALGAON,IND,0,Literate,"Rs 1,21,80,000  ~ 1 Crore+","Rs 28,00,000  ~ 28 Lacs+",0,0,12180000.0,2800000.0,Below 5th,Independent
294,Ahmad Rahim Saikh Bagwan,JALNA,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
295,Ahmed Hedatul Hasan,MALDAHA DAKSHIN,IND,0,12th Pass,"Rs 1,88,500  ~ 1 Lacs+","Rs 18,000  ~ 18 Thou+",0,0,188500.0,18000.0,12th Pass,Independent
296,Ahmed Raashid Pallimira,VELLORE,IND,0,8th Pass,"Rs 2,06,40,000  ~ 2 Crore+","Rs 7,00,000  ~ 7 Lacs+",0,0,20640000.0,700000.0,8th Pass,Independent
297,Ainul Ansari,RANCHI,IND,2,Others,,,2,1,,,Other,Independent
298,Aitaraju Abender,BHONGIR,BSP,0,Post Graduate,"Rs 55,000  ~ 55 Thou+",Rs 0  ~,0,0,55000.0,0.0,Post Graduate,National
299,Aj Rajan,WEST DELHI,Navarang Congress Party,0,10th Pass,"Rs 3,84,000  ~ 3 Lacs+",Rs 0  ~,0,0,384000.0,0.0,10th Pass,Regional
300,Ajablal Mehta,MADHEPURA,Yuva Krantikari Party,0,12th Pass,,,0,0,,,12th Pass,Regional
301,Ajagiya Niralbhai Amrutlal,RAJKOT,IND,0,10th Pass,"Rs 72,00,500  ~ 72 Lacs+","Rs 15,99,000  ~ 15 Lacs+",0,0,7200500.0,1599000.0,10th Pass,Independent
302,Ajanta Sarkar,HOOGHLY,Bharatiya National Janata Dal,0,Graduate,"Rs 9,77,700  ~ 9 Lacs+","Rs 16,938  ~ 16 Thou+",0,0,977700.0,16938.0,Graduate,Regional
303,Ajay,GHAZIPUR,Vishwa Kalyan Rashtriya Manav Samaj Party,0,Graduate,,,0,0,,,Graduate,Regional
304,Ajay Babu Boda,ELURU,Navarang Congress Party,0,10th Pass,"Rs 70,000  ~ 70 Thou+","Rs 2,40,000  ~ 2 Lacs+",0,0,70000.0,240000.0,10th Pass,Regional
305,Ajay Bakaram Chavan,RAMTEK (SC),IND,0,Post Graduate,"Rs 11,00,000  ~ 11 Lacs+",Rs 0  ~,0,0,1100000.0,0.0,Post Graduate,Independent
306,Ajay Barkade,CHHINDWARA,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
307,Ajay Bhat,JAIPUR RURAL,Republican Party of India (A),0,Literate,"Rs 29,48,000  ~ 29 Lacs+","Rs 8,50,000  ~ 8 Lacs+",0,0,2948000.0,850000.0,Below 5th,Regional
308,Ajay Bhatt,NAINITAL-UDHAM SINGH NAGAR,BJP,0,Graduate Professional,"Rs 4,87,14,988  ~ 4 Crore+","Rs 19,05,347  ~ 19 Lacs+",0,0,48714988.0,1905347.0,Graduate,National
309,Ajay Hanumant Londhe,MAVAL,IND,2,Graduate,,,2,1,,,Graduate,Independent
310,Ajay Krishna,KODARMA,Moolniwasi Samaj Party,2,12th Pass,"Rs 70,26,000  ~ 70 Lacs+","Rs 6,50,000  ~ 6 Lacs+",2,1,7026000.0,650000.0,12th Pass,Regional
311,Ajay Kumar,GURGAON,IND,0,10th Pass,"Rs 11,69,964  ~ 11 Lacs+",Rs 0  ~,0,0,1169964.0,0.0,10th Pass,Independent
312,Ajay Kumar,KHAGARIA,Rashtriya Jansambhavna Party,0,Graduate Professional,,,0,0,,,Graduate,Regional
313,Ajay Kumar,KHERI,BJP,0,Graduate Professional,"Rs 6,25,72,088  ~ 6 Crore+",Rs 0  ~,0,0,62572088.0,0.0,Graduate,National
314,Ajay Kumar Das,MATHURAPUR (SC),All India Secular Front,0,Post Graduate,"Rs 36,19,513  ~ 36 Lacs+","Rs 18,00,000  ~ 18 Lacs+",0,0,3619513.0,1800000.0,Post Graduate,Regional
315,Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,,,0,0,,,8th Pass,Regional
316,Ajay Kumar Mishra,KANPUR,IND,0,Graduate,"Rs 17,58,04,835  ~ 17 Crore+","Rs 12,83,16,695  ~ 12 Crore+",0,0,175804835.0,128316695.0,Graduate,Independent
317,Ajay Kumar Pathak,BHOPAL,Chhatrapati Shivaji Bhartiya Garib Party,0,Post Graduate,"Rs 20,18,000  ~ 20 Lacs+","Rs 40,000  ~ 40 Thou+",0,0,2018000.0,40000.0,Post Graduate,Regional
318,Ajay Kumar Sah,SUPAUL,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
319,Ajay Nishad,MUZAFFARPUR,INC,2,Graduate,"Rs 29,62,91,687  ~ 29 Crore+","Rs 1,02,02,589  ~ 1 Crore+",2,1,296291687.0,10202589.0,Graduate,National
320,Ajay Pali,RAJNANDGAON,IND,0,5th Pass,"Rs 31,00,000  ~ 31 Lacs+",Rs 0  ~,0,0,3100000.0,0.0,5th Pass,Independent
321,Ajay Pratap Singh,SIDHI,Gondvana Gantantra Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
